Вышестоящая комиссия,№ УИК,vidano,yavka,puten
2 Территориальная избирательная комиссия №2,124,965,"0,54305008441193","0,683281412253374"
2 Территориальная избирательная комиссия №2,125,974,"0,617237008871989","0,728674203494347"
2 Территориальная избирательная комиссия №2,126,862,"0,663587374903772","0,720092915214866"
2 Территориальная избирательная комиссия №2,127,925,"0,630538513974096","0,69081081081081"
2 Территориальная избирательная комиссия №2,128,1075,"0,59065934065934","0,732525629077353"
2 Территориальная избирательная комиссия №2,129,971,"0,651240778001341","0,722394220846233"
2 Территориальная избирательная комиссия №2,130,1065,"0,498362189985961","0,715898400752587"
2 Территориальная избирательная комиссия №2,131,800,"0,605143721633888","0,662077596996245"
2 Территориальная избирательная комиссия №2,132,1359,"0,776571428571428","0,707873436350257"
2 Территориальная избирательная комиссия №2,133,1337,"0,646831156265118","0,736329588014981"
2 Территориальная избирательная комиссия №2,134,1513,"0,758016032064128","0,752645502645502"
2 Территориальная избирательная комиссия №2,135,1161,"0,563592233009708","0,681622088006902"
2 Территориальная избирательная комиссия №2,136,1221,"0,764080100125156","0,715340442986054"
2 Территориальная избирательная комиссия №2,137,1298,"0,923186344238975","0,714946070878274"
2 Территориальная избирательная комиссия №2,138,1396,"0,649000464900046","0,666427546628407"
2 Территориальная избирательная комиссия №2,139,1126,"0,703310430980637","0,696"
2 Территориальная избирательная комиссия №2,140,1045,"0,65230961298377","0,645254074784276"
2 Территориальная избирательная комиссия №2,141,996,"0,555493586168432","0,706827309236947"
2 Территориальная избирательная комиссия №2,142,1099,"0,665254237288135","0,712591240875912"
2 Территориальная избирательная комиссия №2,143,654,"0,650099403578528","0,698776758409785"
2 Территориальная избирательная комиссия №2,144,906,"0,66764922623434","0,747787610619469"
2 Территориальная избирательная комиссия №2,145,1345,"0,637743006164058","0,687732342007434"
2 Территориальная избирательная комиссия №2,146,774,"0,521915037086985","0,769728331177231"
2 Территориальная избирательная комиссия №2,147,1041,"0,510044096031357","0,715658021133525"
2 Территориальная избирательная комиссия №2,148,1517,"0,578345406023637","0,691749174917491"
2 Территориальная избирательная комиссия №2,149,1349,"0,769977168949771","0,678041543026706"
2 Территориальная избирательная комиссия №2,150,923,"0,65137614678899","0,730227518959913"
2 Территориальная избирательная комиссия №2,151,1362,"0,695963208993357","0,7143906020558"
2 Территориальная избирательная комиссия №2,152,1212,"0,746305418719211","0,730578512396694"
2 Территориальная избирательная комиссия №2,153,1592,"0,652459016393442","0,724354940213971"
2 Территориальная избирательная комиссия №2,154,1433,"0,73074961754207","0,697836706210746"
2 Территориальная избирательная комиссия №2,155,876,"0,719211822660098","0,615120274914089"
2 Территориальная избирательная комиссия №2,156,1429,"0,637377341659232","0,742296918767507"
2 Территориальная избирательная комиссия №2,157,1233,"0,734803337306317","0,686942416869424"
2 Территориальная избирательная комиссия №2,158,2056,"0,765450483991064","0,606031128404669"
2 Территориальная избирательная комиссия №2,159,1002,"0,738393515106853","0,740480961923847"
2 Территориальная избирательная комиссия №2,160,1024,"0,667971298108284","0,7509765625"
2 Территориальная избирательная комиссия №2,161,1044,"0,670089858793324","0,748318924111431"
2 Территориальная избирательная комиссия №2,162,1065,"0,747893258426966","0,727699530516431"
2 Территориальная избирательная комиссия №2,163,810,"0,681818181818181","0,716584158415841"
2 Территориальная избирательная комиссия №2,164,1324,"0,735147140477512","0,742447129909365"
2 Территориальная избирательная комиссия №2,165,1136,"0,642170717919728","0,724471830985915"
2 Территориальная избирательная комиссия №2,166,1167,"0,642621145374449","0,727506426735218"
2 Территориальная избирательная комиссия №2,167,1067,"0,550567595459236","0,704372623574144"
2 Территориальная избирательная комиссия №2,168,1674,"0,649592549476135","0,697745277269957"
2 Территориальная избирательная комиссия №2,169,980,"0,637605725439167","0,761758691206543"
2 Территориальная избирательная комиссия №2,170,1420,"0,615251299826689","0,722772277227722"
2 Территориальная избирательная комиссия №2,171,1133,"0,822206095791001","0,700794351279788"
2 Территориальная избирательная комиссия №2,172,1405,"0,697963238946845","0,70135424091233"
2 Территориальная избирательная комиссия №2,173,1212,"0,66483817882611","0,715111478117258"
2 Территориальная избирательная комиссия №2,174,1274,"0,665969681129116","0,704081632653061"
2 Территориальная избирательная комиссия №2,175,1092,"0,649227110582639","0,712454212454212"
2 Территориальная избирательная комиссия №2,176,1269,"0,606306736741519","0,747044917257683"
