% пу,явка,Вышестоящая комиссия,№ УИК,"Число избирателей, внесенных в списки избирателей",10.00,12.00,15.00,18.00,"1. Число избирателей, включенных в список избирателей","2. Число избирательных бюллетеней, полученных участковой избирательной комиссией","3. Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","4. Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","5. Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",6. Число погашенных избирательных бюллетеней,7. Число избирательных бюллетеней в переносных ящиках для голосования,8. Число бюллетеней в стационарных ящиках для голосования,9. Число недействительных избирательных бюллетеней,10. Число действительных избирательных бюллетеней,11. Число утраченных избирательных бюллетеней,"12. Число избирательных бюллетеней, не учтенных при получении",13. Бабурин Сергей Николаевич,14. Грудинин Павел Николаевич,15. Жириновский Владимир Вольфович,16. Путин Владимир Владимирович,17. Собчак Ксения Анатольевна,18. Сурайкин Максим Александрович,19. Титов Борис Юрьевич,20. Явлинский Григорий Алексеевич
0.746707193515704,0.872679045092838,5 Всеволожская,144,1131,0.0389,0.2025,0.2025,0.7162,1131,1500,0,956,31,513,31,956,11,976,0,0,7,91,56,737,32,9,17,27
0.81636060100167,0.855175688509022,5 Всеволожская,145,2101,0.0643,0.2085,0.4493,0.6589,2106,2200,0,1722,79,399,79,1718,16,1781,0,0,12,133,67,1467,40,13,22,27
0.76274165202109,0.602218700475436,5 Всеволожская,146,1851,0.0361,0.1723,0.3922,0.5419,1893,1900,0,1129,11,760,11,1127,10,1128,0,0,17,103,50,868,44,5,20,21
0.757373929590866,0.614979520187244,5 Всеволожская,147,1707,0.0205,0.1025,0.3125,0.5,1709,1600,0,1023,28,549,28,1023,17,1034,0,0,8,102,58,796,31,5,12,22
0.786221590909091,0.848977135980746,5 Всеволожская,148,1647,0.0868,0.2725,0.4912,0.7627,1662,1600,0,1351,60,189,60,1348,12,1396,0,0,9,129,63,1107,35,10,12,31
0.746145940390545,0.6047234307023,5 Всеволожская,149,1586,0.0233,0.1009,0.5181,0.5295,1609,1400,0,959,14,427,14,959,11,962,0,0,9,97,32,726,36,10,23,29
0.811209439528024,0.681749622926094,1 Бокситогорская,15,1941,0.0773,0.2096,0.4669,0.638,1989,2000,0,1293,63,644,63,1293,14,1342,0,0,7,128,71,1100,12,8,4,12
0.759203980099503,0.75,5 Всеволожская,150,1313,0.0838,0.2353,0.5788,0.6855,1340,1200,0,960,45,195,45,960,8,997,0,0,3,86,80,763,46,4,8,7
0.776960784313726,0.581610833927299,5 Всеволожская,151,1381,0.0717,0.1685,0.4109,0.5225,1403,1400,0,796,20,584,20,796,12,804,0,0,7,65,58,634,16,11,6,7
0.772893772893773,0.907730673316708,5 Всеволожская,152,1149,0.0418,0.322,0.6942,0.7852,1203,1150,0,1065,27,58,27,1065,3,1089,0,0,4,92,80,844,33,8,7,21
0.846666666666667,0.646551724137931,5 Всеволожская,153,455,0.1121,0.2505,0.4462,0.5209,464,400,0,287,13,100,13,287,1,299,0,0,0,19,20,254,1,3,1,1
0.8688,0.701459034792368,5 Всеволожская,154,885,0.0859,0.2011,0.435,0.5424,891,900,0,601,24,275,24,601,7,618,0,0,2,32,19,543,9,4,3,6
0.801864801864802,0.713810316139767,5 Всеволожская,155,590,0.0458,0.2,0.5292,0.6528,601,450,0,373,56,21,56,373,1,428,0,0,1,39,22,344,13,1,4,4
0.78620166793025,0.66751012145749,5 Всеволожская,156,1925,0.0582,0.2145,0.4533,0.5732,1976,1900,0,1264,55,581,55,1264,18,1301,0,0,4,127,77,1037,36,9,7,4
0.884839650145773,0.791234140715109,5 Всеволожская,157,864,0.0532,0.2141,0.4317,0.625,867,700,0,657,29,14,29,657,7,679,0,0,1,29,20,607,3,7,5,7
0.788679245283019,0.618436406067678,5 Всеволожская,158,1692,0.0502,0.159,0.3895,0.4911,1714,1500,0,1004,56,440,56,1004,23,1037,0,0,6,92,52,836,25,4,6,16
0.876281112737921,0.831912302070646,5 Всеволожская,159,1627,0.0264,0.0264,0.268,0.488,1642,1500,0,1327,39,134,39,1327,9,1357,0,0,7,75,23,1197,33,2,5,15
0.83030303030303,0.745762711864407,1 Бокситогорская,16,949,0.0548,0.2421,0.4248,0.6025,885,900,0,539,121,240,121,539,6,654,0,0,3,40,49,548,6,3,3,2
0.818691588785047,0.61177815894797,5 Всеволожская,160,1697,0.0377,0.0377,0.442,0.5127,1749,1500,0,1053,17,430,17,1053,12,1058,0,0,7,84,53,876,21,6,5,6
0.795334040296925,0.620803159973667,5 Всеволожская,161,1515,0.033,0.033,0.4352,0.5517,1519,1400,0,931,12,457,12,931,17,926,0,0,7,80,50,750,21,5,8,5
0.782781456953642,0.664320281566212,5 Всеволожская,162,2273,0.0361,0.0361,0.396,0.5191,2273,1900,0,1235,275,390,275,1235,21,1489,0,0,8,117,74,1182,52,10,18,28
0.734643734643735,0.746788990825688,5 Всеволожская,163,488,0.1824,0.1824,0.7012,0.7637,545,500,0,404,3,93,3,404,7,400,0,0,4,48,29,299,8,5,1,6
0.760220994475138,0.67966991747937,5 Всеволожская,164,1269,0.0402,0.2049,0.5353,0.623,1333,1000,0,888,18,94,18,887,24,881,0,0,3,83,35,688,37,5,11,19
0.730706075533662,0.728468899521531,5 Всеволожская,165,836,0.049,0.1878,0.4988,0.5969,836,700,0,543,66,91,66,543,4,605,0,0,9,64,29,445,23,5,11,19
0.877374784110535,0.704738760631835,5 Всеволожская,166,811,0.0271,0.1726,0.3892,0.4725,823,600,0,561,19,20,19,560,9,570,0,0,2,25,18,508,5,4,3,5
0.829943043124491,0.695701357466063,5 Всеволожская,167,1742,0.0505,0.2174,0.4606,0.4606,1768,1500,0,1191,39,270,39,1190,12,1217,0,0,2,87,60,1020,24,5,10,9
0.777992277992278,0.653215636822194,5 Всеволожская,168,1524,0.0394,0.1155,0.3951,0.3951,1586,1300,0,982,54,264,54,982,17,1019,0,0,6,101,54,806,21,8,7,16
0.813953488372093,0.656488549618321,5 Всеволожская,169,1786,0.0454,0.168,0.4761,0.4761,1834,1500,0,1144,60,296,60,1144,10,1194,0,0,7,79,80,980,21,8,11,8
0.813121272365805,0.827302631578947,1 Бокситогорская,17,641,0.0857,0.2353,0.3713,0.606,608,600,0,329,174,97,174,329,5,498,0,0,4,25,38,409,4,8,5,5
0.800448430493274,0.779039301310044,5 Всеволожская,170,1098,0.092,0.2641,0.5346,0.5346,1145,1000,0,883,9,108,9,883,10,882,0,0,11,65,44,714,25,6,9,8
0.783175355450237,0.674660271782574,5 Всеволожская,171,1241,0.0467,0.1491,0.3405,0.3405,1251,1000,0,805,39,156,39,805,7,837,0,0,11,81,41,661,12,4,13,14
0.85956416464891,0.710843373493976,5 Всеволожская,172,1162,0.0843,0.1721,0.3873,0.3873,1162,1000,0,817,9,174,9,817,11,815,0,0,7,42,32,710,10,3,3,8
0.898989898989899,0.763888888888889,5 Всеволожская,173,725,0.0563,0.1758,0.3333,0.3333,648,600,0,482,13,105,13,482,6,489,0,0,0,21,14,445,2,1,4,2
0.905109489051095,0.697201017811705,5 Всеволожская,174,392,0.102,0.2296,0.4541,0.4541,393,350,0,265,9,76,9,265,1,273,0,0,2,19,2,248,0,2,0,0
0.824817518248175,0.750684931506849,5 Всеволожская,175,431,0.0508,0.1178,0.3241,0.3241,365,300,0,253,21,26,21,253,3,271,0,0,0,17,8,226,10,2,3,5
0.769927536231884,0.710424710424711,5 Всеволожская,176,756,0.0701,0.3122,0.5608,0.5608,777,800,0,550,2,248,2,550,11,541,0,0,1,39,52,425,13,3,6,2
0.788177339901478,0.656957928802589,5 Всеволожская,177,540,0.0352,0.1889,0.537,0.537,618,450,0,365,41,44,41,365,8,398,0,0,3,40,14,320,12,2,6,1
0.775568181818182,0.615026208503203,5 Всеволожская,178,1667,0.0858,0.2202,0.4496,0.5481,1717,1500,0,1021,35,444,35,1021,12,1044,0,0,7,111,54,819,24,3,13,13
0.779790276453766,0.645538461538462,5 Всеволожская,179,1748,0.0698,0.1882,0.373,0.5097,1625,1500,0,989,60,451,60,989,10,1039,0,0,13,88,53,818,30,10,11,16
0.829683698296837,0.731967943009795,1 Бокситогорская,18,1156,0.0952,0.3448,0.5043,0.6835,1123,1000,0,642,180,178,180,642,7,815,0,0,3,53,52,682,12,3,6,4
0.829499323410014,0.542151162790698,5 Всеволожская,180,1322,0.0287,0.1291,0.3277,0.4399,1376,1300,0,719,27,554,27,712,1,738,0,0,6,59,32,613,18,3,6,1
0.808988764044944,0.590909090909091,5 Всеволожская,181,2841,0.0465,0.1464,0.44,0.5386,3014,2500,0,1748,33,719,33,1747,14,1766,0,0,9,140,92,1440,33,13,22,17
0.830337078651685,0.652492668621701,5 Всеволожская,182,1338,0.0448,0.1315,0.4713,0.567,1364,1200,0,868,22,310,22,868,7,883,0,0,8,60,33,739,20,3,11,9
