tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
6 Выборгская,284,57%,1405,81%,,c1,yes,"22, 35"
6 Выборгская,284,57%,1405,81%,,c2,yes,"19, 2, 41"
27 Тосненская,911,56%,968,80%,,c1,yes,"8, 11, 10, 12, 9, 8, 9, 116, 845, 8, 8, 8, 8, 105, 36"
27 Тосненская,911,56%,968,80%,,c2,yes,"8, 8, 8, 25, 8, 15, 16, 822, 8, 14, 8, 12, 93, 35"
5 Всеволожская,126,56%,1245,79%,,c1,yes,5
5 Всеволожская,126,56%,1245,79%,,c2,yes,
27 Тосненская,912,51%,592,76%,,c1,yes,"10, 8, 14, 8, 38"
27 Тосненская,912,51%,592,76%,,c2,yes,"12, 36"
20 Подпорожская,730,49%,530,82%,,c1,,"22, 48, 40"
20 Подпорожская,730,49%,530,82%,,c2,yes,"23, 58, 36"
3 Волховская,70,48%,374,77%,,c1,yes,"2, 3, 7, 2, 20, 6, 3, 7, 7, 16, 37, 20, 21, 3, 2, 2, 19, 19, 4, 41, 21, 20, 3"
3 Волховская,70,48%,374,77%,,c2,yes,"21, 43"
7 Гатчинская,386,45%,898,77%,,c1,yes,"20, 35"
7 Гатчинская,386,45%,898,77%,,c2,yes,"19, 3, 36"
